Instance Type,Market,vCPU,RAM (GiB),Storage,Price ($/h),Price ($/m),Price ($/y),Unit,Terms
m5dn.4xlarge,ondemand,16,64.0,2 x 300 NVMe SSD,1.088,783.36,9400.32,hrs,"OnDemand, Reserved"
r7gd.4xlarge,ondemand,16,128.0,1 x 950 NVMe SSD,1.0886,783.792,9405.504,hrs,"OnDemand, Reserved"
d3.2xlarge,ondemand,8,64.0,6 x 2000 HDD,1.134,816.4799999999999,9797.759999999998,hrs,"OnDemand, Reserved"
c5n.4xlarge,ondemand,16,42.0,EBS only,1.134,816.4799999999999,9797.759999999998,hrs,"OnDemand, Reserved"
g3.4xlarge,ondemand,16,122.0,EBS only,1.14,820.8,9849.599999999999,hrs,"OnDemand, Reserved"
is4gen.2xlarge,ondemand,8,48.0,1 x 7500 SSD,1.1526,829.8720000000001,9958.464,hrs,"OnDemand, Reserved"
c7g.8xlarge,ondemand,32,64.0,EBS only,1.1562,832.4639999999999,9989.568,hrs,"OnDemand, Reserved"
r5a.4xlarge,ondemand,16,128.0,EBS only,1.174,845.28,10143.36,hrs,"OnDemand, Reserved"
c6in.4xlarge,ondemand,16,32.0,EBS only,1.1776,847.872,10174.464,hrs,"OnDemand, Reserved"
inf1.6xlarge,ondemand,24,48.0,EBS only,1.18,849.5999999999999,10195.199999999999,hrs,"OnDemand, Reserved"
r5n.4xlarge,ondemand,16,128.0,EBS only,1.192,858.24,10298.880000000001,hrs,"OnDemand, Reserved"
g4dn.4xlarge,ondemand,16,64.0,225 GB NVMe SSD,1.204,866.88,10402.56,hrs,"OnDemand, Reserved"
g5.2xlarge,ondemand,8,32.0,1 x 450 GB NVMe SSD,1.212,872.64,10471.68,hrs,"OnDemand, Reserved"
c6gd.8xlarge,ondemand,32,64.0,1 x 1900 NVMe SSD,1.2288,884.7359999999999,10616.831999999999,hrs,"OnDemand, Reserved"
c5a.8xlarge,ondemand,32,64.0,EBS only,1.232,887.04,10644.48,hrs,"OnDemand, Reserved"
m6g.8xlarge,ondemand,32,128.0,EBS only,1.232,887.04,10644.48,hrs,"OnDemand, Reserved"
i4g.4xlarge,ondemand,16,128.0,1 x 3750 SSD,1.23552,889.5744,10674.8928,hrs,"OnDemand, Reserved"
c6a.2xlarge,ondemand,8,16.0,EBS only,1.266,911.52,10938.24,hrs,"OnDemand, Reserved"
c5a.2xlarge,ondemand,8,16.0,EBS only,1.268,912.96,10955.52,hrs,"OnDemand, Reserved"
c5ad.2xlarge,ondemand,8,16.0,1 x 300 NVMe SSD,1.304,938.88,11266.56,hrs,"OnDemand, Reserved"
m7g.8xlarge,ondemand,32,128.0,EBS only,1.3056,940.032,11280.384,hrs,"OnDemand, Reserved"
inf1.2xlarge,ondemand,8,16.0,EBS only,1.322,951.84,11422.08,hrs,"OnDemand, Reserved"
r4.4xlarge,ondemand,16,122.0,EBS only,1.3344,960.768,11529.216,hrs,"OnDemand, Reserved"
r5dn.4xlarge,ondemand,16,128.0,2 x 300 NVMe SSD,1.336,961.9200000000001,11543.04,hrs,"OnDemand, Reserved"
x2gd.4xlarge,ondemand,16,256.0,1 x 950 SSD,1.336,961.9200000000001,11543.04,hrs,"OnDemand, Reserved"
trn1.2xlarge,ondemand,8,32.0,1 x 475 NVMe SSD,1.34375,967.5,11610.0,hrs,"OnDemand, Reserved"
